time_setup_utc,time_done_utc,ticket,position_id,symbol,type,state,volume_initial,volume_current,price_open,price_current,sl,tp,magic,comment,reason
2026-06-26T18:31:44+00:00,2026-06-26T18:31:44+00:00,1070348,1070348,GBPUSD,0,4,0.5,0.0,0.0,1.32016,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:32:11+00:00,2026-06-26T18:32:11+00:00,1070488,1070488,XAUUSD,0,4,0.1,0.0,0.0,4077.545,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:33:01+00:00,2026-06-26T18:33:01+00:00,1070749,1070488,XAUUSD,1,4,0.1,0.0,0.0,4078.075,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:38:02+00:00,2026-06-26T18:38:02+00:00,1073255,1073255,XAUUSD,0,4,0.1,0.0,0.0,4076.175,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:42:31+00:00,2026-06-26T18:42:31+00:00,1077237,1073255,XAUUSD,1,4,0.1,0.0,0.0,4076.81,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:43:40+00:00,2026-06-26T18:43:40+00:00,1077640,1070348,GBPUSD,1,4,0.5,0.0,0.0,1.32028,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:47:31+00:00,2026-06-26T18:47:31+00:00,1078523,1078523,XAUUSD,0,4,0.1,0.0,0.0,4075.295,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:49:18+00:00,2026-06-26T18:49:18+00:00,1079948,1078523,XAUUSD,1,4,0.1,0.0,0.0,4075.785,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:54:19+00:00,2026-06-26T18:54:19+00:00,1084486,1084486,XAUUSD,0,4,0.1,0.0,0.0,4074.889,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:54:54+00:00,2026-06-26T18:54:54+00:00,1084657,1084486,XAUUSD,1,4,0.1,0.0,0.0,4075.39,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:58:45+00:00,2026-06-26T18:58:45+00:00,1085970,1085970,GBPUSD,0,4,0.5,0.0,0.0,1.31994,0.0,0.0,10181,profit_harvester,3
2026-06-26T18:59:10+00:00,2026-06-26T18:59:10+00:00,1086082,1085970,GBPUSD,1,4,0.5,0.0,0.0,1.32004,0.0,0.0,10181,profit_harvester,3
2026-06-26T19:00:03+00:00,2026-06-26T19:00:03+00:00,1086306,1086306,XAUUSD,0,4,0.1,0.0,0.0,4074.82,0.0,0.0,10181,profit_harvester,3
2026-06-26T19:03:48+00:00,2026-06-26T19:03:48+00:00,1090283,1086306,XAUUSD,1,4,0.1,0.0,0.0,4075.39,0.0,0.0,10181,profit_harvester,3
2026-06-26T19:08:08+00:00,2026-06-26T19:08:08+00:00,1093775,1093775,XAGUSD,1,4,0.5,0.0,0.0,59.0323,0.0,0.0,0,,0
2026-06-26T19:16:53+00:00,2026-06-26T19:16:53+00:00,1101136,1101136,XAUUSD,0,4,0.1,0.0,0.0,4074.555,0.0,0.0,10181,profit_harvester,3
2026-06-26T19:18:20+00:00,2026-06-26T19:18:20+00:00,1103039,1101136,XAUUSD,1,4,0.1,0.0,0.0,4075.085,0.0,0.0,10181,profit_harvester,3
2026-06-26T19:18:21+00:00,2026-06-26T19:18:21+00:00,1103048,1093775,XAGUSD,0,4,0.5,0.0,0.0,59.1053,0.0,0.0,0,,0
2026-06-26T19:19:06+00:00,2026-06-26T19:19:06+00:00,1103590,1103590,XAGUSD,1,4,0.5,0.0,0.0,59.0361,0.0,0.0,0,,0
2026-06-26T19:19:34+00:00,2026-06-26T19:19:34+00:00,1103703,1103590,XAGUSD,0,4,0.5,0.0,0.0,59.0333,0.0,0.0,0,,0
2026-06-26T19:20:32+00:00,2026-06-26T19:20:32+00:00,1104339,1104339,XAUUSD,1,4,0.5,0.0,0.0,4072.74,0.0,0.0,0,,0
2026-06-26T19:20:39+00:00,2026-06-26T19:20:39+00:00,1104347,1104339,XAUUSD,0,4,0.5,0.0,0.0,4072.94,0.0,0.0,0,,0
2026-06-26T19:20:55+00:00,2026-06-26T19:20:55+00:00,1104536,1104536,XAUUSD,1,4,0.5,0.0,0.0,4072.38,0.0,0.0,0,,0
2026-06-26T19:21:04+00:00,2026-06-26T19:21:04+00:00,1104652,1104536,XAUUSD,0,4,0.5,0.0,0.0,4072.12,0.0,0.0,0,,0
2026-06-26T19:22:23+00:00,2026-06-26T19:22:23+00:00,1105895,1105895,XAUUSD,0,4,0.5,0.0,0.0,4072.965,0.0,0.0,0,,0
2026-06-26T19:22:40+00:00,2026-06-26T19:22:40+00:00,1105934,1105895,XAUUSD,1,4,0.5,0.0,0.0,4073.155,0.0,0.0,0,,0
2026-06-26T19:22:50+00:00,2026-06-26T19:22:50+00:00,1105980,1105980,XAUUSD,1,4,0.5,0.0,0.0,4072.8,0.0,0.0,0,,0
2026-06-26T19:22:55+00:00,2026-06-26T19:22:55+00:00,1106028,1105980,XAUUSD,0,4,0.5,0.0,0.0,4072.795,0.0,0.0,0,,0
2026-06-26T19:23:03+00:00,2026-06-26T19:23:03+00:00,1106047,1106047,EURGBP,0,4,0.5,0.0,0.0,0.86264,0.0,0.0,0,,0
2026-06-26T19:23:21+00:00,2026-06-26T19:23:21+00:00,1106257,1106257,XAUUSD,0,4,0.1,0.0,0.0,4072.7,0.0,0.0,10181,profit_harvester,3
2026-06-26T19:24:01+00:00,2026-06-26T19:24:01+00:00,1106748,1106047,EURGBP,1,4,0.5,0.0,0.0,0.86264,0.0,0.0,0,,0
2026-06-26T19:24:30+00:00,2026-06-26T19:24:30+00:00,1106781,1106781,XAGUSD,1,4,0.5,0.0,0.0,59.0058,0.0,0.0,0,,0
2026-06-26T19:26:28+00:00,2026-06-26T19:26:28+00:00,1109167,1106257,XAUUSD,1,4,0.1,0.0,0.0,4073.6,0.0,0.0,10181,profit_harvester,3
